"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count"
"GSM136604","045_03_10","GSM136604","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136604/GSM136604.CEL.gz","22277"
"GSM136605","045_04_01","GSM136605","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136605/GSM136605.CEL.gz","22277"
"GSM136606","045_04_03","GSM136606","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136606/GSM136606.CEL.gz","22277"
"GSM136607","045_04_04","GSM136607","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136607/GSM136607.CEL.gz","22277"
"GSM136608","045_04_05","GSM136608","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Pancreas","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136608/GSM136608.CEL.gz","22277"
"GSM136609","045_04_06","GSM136609","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136609/GSM136609.CEL.gz","22277"
"GSM136610","045_04_07","GSM136610","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136610/GSM136610.CEL.gz","22277"
"GSM136611","045_04_09","GSM136611","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136611/GSM136611.CEL.gz","22277"
"GSM136612","045_04_10","GSM136612","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136612/GSM136612.CEL.gz","22277"
"GSM136613","045_05_01","GSM136613","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136613/GSM136613.CEL.gz","22277"
"GSM136614","045_05_02","GSM136614","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136614/GSM136614.CEL.gz","22277"
"GSM136615","045_05_03","GSM136615","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136615/GSM136615.CEL.gz","22277"
"GSM136616","045_05_04","GSM136616","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Abdomen","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136616/GSM136616.CEL.gz","22277"
"GSM136617","045_05_05","GSM136617","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136617/GSM136617.CEL.gz","22277"
"GSM136618","045_05_07","GSM136618","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136618/GSM136618.CEL.gz","22277"
"GSM136619","045_05_09","GSM136619","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136619/GSM136619.CEL.gz","22277"
"GSM136620","045_05_10","GSM136620","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136620/GSM136620.CEL.gz","22277"
"GSM136621","045_06_01","GSM136621","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136621/GSM136621.CEL.gz","22277"
"GSM136622","045_06_02","GSM136622","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136622/GSM136622.CEL.gz","22277"
"GSM136623","045_06_03","GSM136623","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Abdomen","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136623/GSM136623.CEL.gz","22277"
"GSM136624","045_06_05","GSM136624","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136624/GSM136624.CEL.gz","22277"
"GSM136625","045_06_06","GSM136625","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136625/GSM136625.CEL.gz","22277"
"GSM136626","045_06_07","GSM136626","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Adrenal gland; Kidney","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136626/GSM136626.CEL.gz","22277"
"GSM136627","045_06_08","GSM136627","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136627/GSM136627.CEL.gz","22277"
"GSM136628","045_06_10","GSM136628","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Rectal","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136628/GSM136628.CEL.gz","22277"
"GSM136629","045_07_01","GSM136629","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136629/GSM136629.CEL.gz","22277"
"GSM136630","045_07_02","GSM136630","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Abdomen (soft tissue mass)","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136630/GSM136630.CEL.gz","22277"
